video_id,p95_left,p95_right,video,miss_left_pct,miss_right_pct,max_p95,max_miss,score,rag_heuristic
IMG_8216_15fps,0.2435265645384787,0.2457363486289978,,,,0.2457363486289978,,,rojo
IMG_8217_15fps,0.3086809813976288,0.14226673915982246,,,,0.3086809813976288,,,rojo
IMG_8218_15fps,0.2226932942867279,0.20599054396152494,,,,0.2226932942867279,,,rojo
IMG_8219_15fps,0.21468008682131767,0.1539705157279968,,,,0.21468008682131767,,,rojo
IMG_8220_15fps,0.21247722357511517,0.11957839503884314,,,,0.21247722357511517,,,rojo
IMG_8221_15fps,0.31832894682884216,0.13971039354801176,,,,0.31832894682884216,,,rojo
IMG_8222_15fps,0.28405560180544853,0.10378547050058841,,,,0.28405560180544853,,,rojo
IMG_8223_15fps,0.16433634832501412,0.09444071948528289,,,,0.16433634832501412,,,rojo
IMG_8224_15fps,0.3159819543361664,0.28298254013061525,,,,0.3159819543361664,,,rojo
IMG_8226_15fps,,0.13471685200929628,,,,0.13471685200929628,,,rojo
IMG_8227_15fps,,0.21830852180719362,,,,0.21830852180719362,,,rojo
IMG_8228_15fps,0.2762507706880569,0.16379446759819966,,,,0.2762507706880569,,,rojo
IMG_8229_15fps,0.40811842978000634,0.22424184381961823,,,,0.40811842978000634,,,rojo
IMG_8230_15fps,0.1879981905221939,0.25374879911541937,,,,0.25374879911541937,,,rojo
IMG_8231_15fps,0.18844525516033173,0.25452377647161484,,,,0.25452377647161484,,,rojo
IMG_8232_15fps,0.19965265542268754,0.3304349064826965,,,,0.3304349064826965,,,rojo
IMG_8233_15fps,,0.22595404386520385,,,,0.22595404386520385,,,rojo
IMG_8234_15fps,0.259539783000946,0.19536588937044144,,,,0.259539783000946,,,rojo
IMG_8235_15fps,0.19875158742070198,0.21723536252975462,,,,0.21723536252975462,,,rojo
IMG_8236_15fps,0.16710875034332273,0.21303204894065855,,,,0.21303204894065855,,,rojo
IMG_8237_15fps,0.17164757922291754,0.15287875607609744,,,,0.17164757922291754,,,rojo
IMG_8239_15fps,0.10224321857094762,0.28477764427661895,,,,0.28477764427661895,,,rojo
IMG_8240_15fps,0.23610344827175134,0.19734537601470947,,,,0.23610344827175134,,,rojo
IMG_8241_15fps,0.13648007661104197,0.23257376849651332,,,,0.23257376849651332,,,rojo
IMG_8242_15fps,0.4219996392726898,0.10999964773654937,,,,0.4219996392726898,,,rojo
IMG_8243_15fps,0.059955085255205626,0.2563161864876747,,,,0.2563161864876747,,,rojo
IMG_8244_15fps,0.14304514229297638,0.17863506823778152,,,,0.17863506823778152,,,rojo
IMG_8307_15fps,0.264905409514904,0.0712543711066246,,,,0.264905409514904,,,rojo
IMG_8308_15fps,0.1822868324816227,0.12550144866108895,,,,0.1822868324816227,,,rojo
IMG_8309_15fps,0.27393810749053954,0.0738197311758995,,,,0.27393810749053954,,,rojo
IMG_8310_15fps,0.3033139437437058,0.09488342180848121,,,,0.3033139437437058,,,rojo
IMG_8311_15fps,0.26801797747612,0.08312327973544598,,,,0.26801797747612,,,rojo
IMG_8313_15fps,0.2677381068468093,0.22385009229183198,,,,0.2677381068468093,,,rojo
IMG_8314_15fps,0.15995758771896362,0.15398501008749,,,,0.15995758771896362,,,rojo
IMG_8315_15fps,0.25229837000370026,0.24081692099571228,,,,0.25229837000370026,,,rojo
IMG_8316_15fps,0.17139694690704346,0.1112499229609966,,,,0.17139694690704346,,,rojo
IMG_8317_15fps,0.18369832336902617,0.10138427019119262,,,,0.18369832336902617,,,rojo
IMG_8318_15fps,0.11872385405004025,0.09554681926965715,,,,0.11872385405004025,,,rojo
IMG_8319_15fps,0.3321142420172691,0.23066692650318146,,,,0.3321142420172691,,,rojo
IMG_8320_15fps,0.18123520538210866,0.20601863563060752,,,,0.20601863563060752,,,rojo
IMG_8321_15fps,0.3466959923505783,0.16209416463971138,,,,0.3466959923505783,,,rojo
IMG_8322_15fps,0.13380680605769157,0.07350718043744564,,,,0.13380680605769157,,,rojo
IMG_8323_15fps,0.2021126516163348,0.12396777458488953,,,,0.2021126516163348,,,rojo
IMG_8324_15fps,0.2212187647819518,0.09240039288997659,,,,0.2212187647819518,,,rojo
IMG_8347_15fps,0.34059940874576566,0.2665448501706123,,,,0.34059940874576566,,,rojo
IMG_8348_15fps,0.42418956756591797,,,,,0.42418956756591797,,,rojo
IMG_8349_15fps,0.2377532422542572,0.11946286968886864,,,,0.2377532422542572,,,rojo
IMG_8350_15fps,0.3567619413137436,0.13105704486370076,,,,0.3567619413137436,,,rojo
IMG_8351_15fps,0.275511771440506,0.16369259357452398,,,,0.275511771440506,,,rojo
IMG_8352_15fps,0.252843518555164,0.1457874149084089,,,,0.252843518555164,,,rojo
IMG_8353_15fps,0.17252134829759597,0.08335120677947998,,,,0.17252134829759597,,,rojo
IMG_8354_15fps,0.3265136003494263,0.11289841458201408,,,,0.3265136003494263,,,rojo
IMG_8355_15fps,0.09715460985898959,0.09430046081542959,,,,0.09715460985898959,,,rojo
IMG_8356_15fps,0.23750907778739924,0.18156539499759666,,,,0.23750907778739924,,,rojo
IMG_8357_15fps,0.31870106309652324,0.2192950092256069,,,,0.31870106309652324,,,rojo
IMG_8358_15fps,0.24019616395235058,0.15707197040319437,,,,0.24019616395235058,,,rojo
IMG_8359_15fps,0.3073736190795898,0.11889309585094451,,,,0.3073736190795898,,,rojo
IMG_8360_15fps,0.37577764689922316,0.23029735088348385,,,,0.37577764689922316,,,rojo
IMG_8361_15fps,0.3366081357002258,0.13061994835734364,,,,0.3366081357002258,,,rojo
IMG_8362_15fps,0.37571312189102174,0.287594524025917,,,,0.37571312189102174,,,rojo
IMG_8363_15fps,0.3106068894267082,0.22105456441640853,,,,0.3106068894267082,,,rojo
IMG_8364_15fps,0.18444919586181635,0.18849095106124872,,,,0.18849095106124872,,,rojo
IMG_8365_15fps,0.31713153421878815,0.22598494216799736,,,,0.31713153421878815,,,rojo
IMG_8366_15fps,0.2614762604236602,0.26163099408149715,,,,0.26163099408149715,,,rojo
IMG_8367_15fps,0.24293637573719024,0.16173708885908125,,,,0.24293637573719024,,,rojo
IMG_8369_15fps,0.23833764195442186,0.19380416721105576,,,,0.23833764195442186,,,rojo
IMG_8382_15fps,0.20092721730470656,,,,,0.20092721730470656,,,rojo
IMG_8385_15fps,0.23907407745718953,0.10484994500875473,,,,0.23907407745718953,,,rojo
IMG_8386_15fps,0.2634863704442978,0.08843837827444076,,,,0.2634863704442978,,,rojo
IMG_8388_15fps,0.1781205005943775,0.206264890730381,,,,0.206264890730381,,,rojo
IMG_8389_15fps,0.24164053797721863,0.27047824859619135,,,,0.27047824859619135,,,rojo
VID_20250820_101845_15fps,0.31536967754364015,0.175120934844017,,,,0.31536967754364015,,,rojo
VID_20250820_101943_15fps,0.33822527825832366,0.2865788847208023,,,,0.33822527825832366,,,rojo
VID_20250820_102035_15fps,0.3676374346017838,0.19411253035068513,,,,0.3676374346017838,,,rojo
VID_20250820_103040_15fps,0.09982148185372353,0.09067920073866842,,,,0.09982148185372353,,,rojo
VID_20250820_104012_15fps,0.7083020329475402,0.25139301419258114,,,,0.7083020329475402,,,rojo
VID_20250820_104712_15fps,0.28661010414361937,0.35690356642007826,,,,0.35690356642007826,,,rojo
VID_20250820_104800(1)_15fps,0.23896000534296044,0.14034590125083923,,,,0.23896000534296044,,,rojo
VID_20250820_104800_15fps,0.23896000534296044,0.14034590125083923,,,,0.23896000534296044,,,rojo
VID_20250820_104903(1)_15fps,0.2793367803096771,,,,,0.2793367803096771,,,rojo
VID_20250820_104903_15fps,0.2793367803096771,,,,,0.2793367803096771,,,rojo
VID_20250820_105321_15fps,0.25147658586502075,0.10455308705568313,,,,0.25147658586502075,,,rojo
VID_20250820_105354_15fps,0.30603357553482047,0.11360807120800018,,,,0.30603357553482047,,,rojo
VID_20250820_105424_15fps,0.2768471419811248,0.12704650312662125,,,,0.2768471419811248,,,rojo
VID_20250820_110522_15fps,0.21044374033808694,0.2123847186565399,,,,0.2123847186565399,,,rojo
VID_20250820_110611_15fps,0.2515393629670143,0.2108472190797329,,,,0.2515393629670143,,,rojo
VID_20250820_110636_15fps,0.3956702813506126,0.218990870565176,,,,0.3956702813506126,,,rojo
VID_20250820_111306_15fps,0.32552686184644697,0.20314871966838827,,,,0.32552686184644697,,,rojo
VID_20250820_111335_15fps,0.2722688257694244,0.24595006108283995,,,,0.2722688257694244,,,rojo
VID_20250820_111701_15fps,0.39439513087272643,0.4056161820888519,,,,0.4056161820888519,,,rojo
VID_20250820_111744_15fps,0.4377399295568466,0.3678387403488159,,,,0.4377399295568466,,,rojo
VID_20250820_111820_15fps,0.28758606314659113,0.24051309376955032,,,,0.28758606314659113,,,rojo
VID_20250820_112216_15fps,0.3565191209316253,0.2736559808254242,,,,0.3565191209316253,,,rojo
VID_20250820_112254_15fps,0.06588249132037163,,,,,0.06588249132037163,,,rojo
VID_20250820_112316_15fps,0.27156104147434235,0.21006112545728683,,,,0.27156104147434235,,,rojo
VID_20250820_112631_15fps,0.25908930897712706,0.21819827556610105,,,,0.25908930897712706,,,rojo
VID_20250820_112703_15fps,0.22156335711479183,0.2863634526729584,,,,0.2863634526729584,,,rojo
