video_id,hand,mean,median,p95
IMG_8216_15fps,Left,0.0909796867519617,0.047270676121115685,0.2435265645384787
IMG_8216_15fps,Right,0.1267101587179829,0.10885753482580185,0.2457363486289978
IMG_8217_15fps,Left,0.15776422755284744,0.13151799142360687,0.3086809813976288
IMG_8217_15fps,Right,0.08002560106771332,0.0703478567302227,0.14226673915982246
IMG_8218_15fps,Left,0.10909017344767397,0.08086726814508438,0.2226932942867279
IMG_8218_15fps,Right,0.11865724078737773,0.13902461528778076,0.20599054396152494
IMG_8219_15fps,Left,0.11127694509923458,0.08444349840283394,0.21468008682131767
IMG_8219_15fps,Right,0.08803801471367478,0.08174090087413788,0.1539705157279968
IMG_8220_15fps,Left,0.12458376692874092,0.10096843540668488,0.21247722357511517
IMG_8220_15fps,Right,0.07808401329176766,0.07406643033027649,0.11957839503884314
IMG_8221_15fps,Left,0.1759216156270769,0.14069198071956635,0.31832894682884216
IMG_8221_15fps,Right,0.0911281492561102,0.0917377918958664,0.13971039354801176
IMG_8222_15fps,Left,0.1158277395252998,0.07173154875636101,0.28405560180544853
IMG_8222_15fps,Right,0.06957751978188753,0.06969558447599411,0.10378547050058841
IMG_8223_15fps,Left,0.0929036538370631,0.07079073041677475,0.16433634832501412
IMG_8223_15fps,Right,0.06464878520504995,0.06648498401045799,0.09444071948528289
IMG_8224_15fps,Left,0.3159819543361664,0.3159819543361664,0.3159819543361664
IMG_8224_15fps,Right,0.22807526091734567,0.20238173007965088,0.28298254013061525
IMG_8226_15fps,Right,0.06247306652367115,0.046350808814167976,0.13471685200929628
IMG_8227_15fps,Right,0.08759261760860682,0.06315926276147366,0.21830852180719362
IMG_8228_15fps,Left,0.11803717966432925,0.04335896298289299,0.2762507706880569
IMG_8228_15fps,Right,0.06248062724868456,0.04187507554888725,0.16379446759819966
IMG_8229_15fps,Left,0.15156468959606212,0.033629998564720154,0.40811842978000634
IMG_8229_15fps,Right,0.12121504284441471,0.09925874322652817,0.22424184381961823
IMG_8230_15fps,Left,0.08034617337398231,0.046236082911491394,0.1879981905221939
IMG_8230_15fps,Right,0.08765739181803332,0.043404847383499146,0.25374879911541937
IMG_8231_15fps,Left,0.09566062146967108,0.08541164547204971,0.18844525516033173
IMG_8231_15fps,Right,0.11489185746759176,0.11681665480136871,0.25452377647161484
IMG_8232_15fps,Left,0.1749329815308253,0.172366663813591,0.19965265542268754
